"artista","musica","generos","key","duracao","popularidade","acustico","discurso","vivacidade","instrumentalidade","energia","tempo","time_signature","sonoridade","dancabilidade","valencia"
"Juice WRLD","The Bees Knees","chicago rap, melodic rap","C",325809,60,0.125,0.0844,0.749,0,0.724,140.027,4,-4.751,0.427,0.289
"Taylor Swift","The Best Day (Taylor’s Version)","pop","Cs",245290,58,0.488,0.0282,0.159,0,0.576,125,4,-8.524,0.642,0.469
"Lil Baby","The Bigger Picture","atl hip hop, atl trap, rap, trap","Cs",252728,65,0.0127,0.334,0.244,0,0.618,96.459,3,-5.756,0.59,0.153
"Lil Yachty","the BLACK seminole.","atl hip hop, melodic rap, rap, trap, viral rap","A",411912,71,0.063,0.0326,0.118,0.344,0.557,113.563,4,-5.737,0.302,0.103
"Kendrick Lamar","The Blacker The Berry","conscious hip hop, hip hop, rap, west coast rap","As",328826,59,0.00713,0.305,0.463,0,0.852,176.058,4,-4.08,0.553,0.27
"Maren Morris","The Bones","contemporary country, country, pop, texas country","B",197293,70,0.278,0.0347,0.0963,0,0.57,77.004,4,-6.642,0.612,0.334
"Roddy Ricch","The Box","melodic rap, rap, trap","As",196652,77,0.104,0.0559,0.79,0,0.586,116.971,4,-6.687,0.896,0.642
"Tiësto","The Business","big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Gs",164000,78,0.414,0.232,0.112,0.0192,0.62,120.031,4,-7.079,0.798,0.235
"Arctic Monkeys","The Car","garage rock, modern rock, permanent wave, rock, sheffield indie","E",198554,60,0.78,0.0276,0.113,0.0033,0.365,94.033,3,-11.889,0.428,0.236
"Fleetwood Mac","The Chain - 2004 Remaster","album rock, classic rock, rock, soft rock, yacht rock","A",270213,77,0.009,0.0496,0.0451,0.000822,0.67,151.553,4,-8.81,0.545,0.481
"D'Angelo","The Charade","funk, indie soul, neo soul, soul, urban contemporary","G",200840,35,0.254,0.0653,0.207,0.218,0.733,120.08,4,-7.88,0.671,0.462
"Justin Bieber","The Christmas Song (Chestnuts Roasting On An Open Fire)","canadian pop, pop","A",215160,61,0.45,0.0289,0.102,0,0.436,103.477,3,-9.542,0.533,0.169
"Mel Tormé","The Christmas Song (Chestnuts Roasting On an Open Fire)","adult standards, contemporary vocal jazz, easy listening, lounge, swing, vocal jazz","Cs",190906,39,0.807,0.0368,0.157,0,0.104,79.832,4,-22.074,0.233,0.351
"Shawn Mendes","The Christmas Song (Shawn Mendes & Camila Cabello)","canadian pop, dance pop, pop, viral pop","D",196254,52,0.888,0.0366,0.137,0,0.181,83.608,4,-12.073,0.341,0.212
"Michael Bublé","The Christmas Sweater","adult standards, canadian pop, jazz pop, lounge","Gs",223671,54,0.0114,0.0369,0.261,0,0.766,123.999,4,-5.31,0.641,0.551
"Peggy Lee","The Christmas Waltz","adult standards, lounge, soul, swing, torch song, vocal jazz","Cs",172653,52,0.75,0.0322,0.128,2.07e-05,0.26,118.581,3,-12.037,0.27,0.182
"King Von","The Code (feat. Polo G)","chicago rap","Fs",202413,61,0.0582,0.338,0.119,0,0.62,133.17,4,-8.397,0.831,0.568
"Tory Lanez","The Color Violet","canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap","Fs",226466,85,0.157,0.0479,0.0863,0,0.534,105.02,4,-10.8,0.645,0.463
"Lady Gaga","The Cure","art pop, dance pop, pop","Gs",211363,61,0.0792,0.0325,0.0893,0,0.506,100.002,4,-4.863,0.697,0.516
"J. Cole","The Cut Off (feat. kiLL edward)","conscious hip hop, hip hop, north carolina hip hop, rap","Cs",237295,53,0.186,0.4,0.372,0,0.543,78.168,4,-7.979,0.734,0.336
"Avicii","The Days","dance pop, edm, pop, pop dance, pop rap","C",278480,63,0.04,0.0439,0.142,4.07e-05,0.724,127.059,4,-3.278,0.59,0.526
"Slipknot","The Devil in I","alternative metal, nu metal, rap metal","A",342821,68,0.00591,0.0648,0.357,0.000881,0.939,92.027,4,-2.865,0.398,0.235
"XXXTENTACION","The Explanation","emo rap, miami hip hop","C",50747,50,0.461,0.954,0.148,0.000393,0.113,81.311,5,-34.475,0.597,0.313
"Foo Fighters","The Feast and The Famine","alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","B",229560,44,5.58e-05,0.105,0.129,0.000304,0.906,173.639,4,-4.683,0.332,0.497
"Justin Bieber","The Feeling","canadian pop, pop","Cs",244906,57,0.0819,0.0619,0.0971,1.22e-06,0.809,127.073,4,-6.185,0.525,0.21
"TWICE","The Feels","k-pop, k-pop girl group","A",198053,60,0.0899,0.0729,0.0816,0,0.903,120.044,4,-2.179,0.808,0.922
"Nelly","The Fix (feat. Jeremih)","dance pop, hip hop, pop rap, southern hip hop, st louis rap, urban contemporary","Gs",173045,59,0.0485,0.0429,0.102,0,0.479,95.505,4,-6.47,0.812,0.0873
"Russ","The Flute Song","hawaiian hip hop, rap","Cs",147600,57,0.212,0.273,0.221,0,0.524,138.064,4,-7.942,0.789,0.343
"My Chemical Romance","The Foundations of Decay","emo, pop punk","Cs",360760,61,0.000582,0.0552,0.317,0.548,0.67,150.15,4,-6.652,0.363,0.198
"Kenny Rogers","The Gambler","adult standards, classic country pop, country, mellow gold, nashville sound, soft rock","E",214880,71,0.342,0.0594,0.194,0,0.501,87.04,4,-13.119,0.671,0.86
"Pusha T","The Games We Play","alternative hip hop, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop, virginia hip hop","F",166120,57,0.0713,0.198,0.096,0.0163,0.796,78.033,4,-3.696,0.694,0.592
"Red Hot Chili Peppers","The Getaway","alternative rock, funk metal, funk rock, permanent wave","C",250386,56,0.0799,0.0725,0.371,1.19e-05,0.642,113.999,4,-8.082,0.797,0.667
"99 Souls","The Girl Is Mine","house, uk house","A",216613,52,0.00423,0.0397,0.0356,0.0972,0.943,118.991,4,-3.6,0.683,0.706
"Blanco Brown","The Git Up","black americana, country rap","A",200593,64,0.0669,0.109,0.274,0,0.678,97.984,4,-8.635,0.847,0.811
"Logic","The Glorious Five","conscious hip hop, dmv rap, hip hop, pop rap, rap","As",216520,43,0.0359,0.0477,0.381,0,0.842,91.995,4,-7.539,0.823,0.396
"Troye Sivan","The Good Side","australian pop, dance pop, pop, viral pop","D",268597,54,0.406,0.0616,0.362,0.00335,0.284,112.039,4,-15.492,0.426,0.311
"Taylor Swift","The Great War","pop","F",240355,78,0.219,0.0353,0.0842,2.23e-05,0.741,96.016,4,-8.987,0.573,0.554
"Sia","The Greatest","australian dance, australian pop, dance pop, pop","As",210920,70,0.0174,0.174,0.0512,0.00107,0.785,191.95,4,-6.167,0.639,0.686
"Lana Del Rey","The greatest","art pop, pop","D",300360,64,0.939,0.0359,0.14,0.0201,0.226,79.142,3,-12.507,0.443,0.196
"Panic! At The Disco","The Greatest Show","modern rock","Fs",174306,59,0.00546,0.0784,0.382,0,0.839,77.009,4,-5.365,0.546,0.491
"Trippie Redd","The Grinch","melodic rap, rap, trap","Gs",91288,76,0.137,0.0971,0.0981,6.36e-05,0.503,162.85,4,-6.115,0.676,0.196
"BLACKPINK","The Happiest Girl","k-pop, k-pop girl group","C",222025,65,0.638,0.0328,0.118,0,0.374,91.058,4,-8.458,0.641,0.574
"Kendrick Lamar","The Heart Part 4","conscious hip hop, hip hop, rap, west coast rap","A",288554,44,0.501,0.714,0.271,0.000125,0.434,129.326,4,-15.218,0.669,0.55
"Kendrick Lamar","The Heart Part 5","conscious hip hop, hip hop, rap, west coast rap","Cs",332228,63,0.183,0.297,0.0756,0,0.812,97.405,4,-8.128,0.7,0.801
"Selena Gomez","The Heart Wants What It Wants","dance pop, pop, post-teen pop","G",227373,67,0.053,0.0377,0.142,0,0.789,83.066,4,-4.874,0.616,0.621
"The Weeknd","The Hills","canadian contemporary r&b, canadian pop, pop","C",242253,84,0.0671,0.0515,0.135,0,0.564,113.003,4,-7.063,0.585,0.137
"The Weeknd","The Hills - Remix","canadian contemporary r&b, canadian pop, pop","C",263693,56,0.0673,0.225,0.0934,0,0.628,111.156,4,-6.665,0.46,0.354
"Twenty One Pilots","The Hype","modern rock, rock","A",265373,59,0.0105,0.0503,0.379,0.00061,0.816,87.019,4,-6.149,0.53,0.371
"Logic","The Jam","conscious hip hop, dmv rap, hip hop, pop rap, rap","As",238400,43,0.0145,0.324,0.114,0,0.589,149.08,4,-7.762,0.814,0.375
"Ed Sheeran","The Joker And The Queen (feat. Taylor Swift)","pop, uk pop","C",185422,69,0.924,0.0329,0.282,2.1e-06,0.309,133.83,4,-7.398,0.528,0.307
"Fall Out Boy","The Kids Aren't Alright","emo, modern rock","Fs",260920,57,0.000246,0.0322,0.298,0.141,0.763,115.991,4,-4.189,0.615,0.333
"Luke Combs","The Kind of Love We Make","contemporary country, country","Cs",224426,75,0.0226,0.0277,0.0942,6.47e-06,0.745,102.025,4,-4.13,0.608,0.464
"Taylor Swift","the last great american dynasty","pop","G",230999,66,0.467,0.0413,0.109,0.0023,0.662,147.922,4,-8.505,0.686,0.706
"Fall Out Boy","The Last Of The Real Ones","emo, modern rock","Gs",230400,56,0.00594,0.0443,0.192,0,0.872,115.043,4,-5.294,0.579,0.557
"Sidhu Moose Wala","The Last Ride","desi hip hop, desi pop, pakistani hip hop, punjabi hip hop","As",262247,72,0.0299,0.334,0.119,0,0.647,89.029,4,-5.447,0.792,0.638
"Taylor Swift","The Last Time","pop","D",299013,48,0.035,0.0276,0.0906,3.15e-06,0.443,94.069,4,-7.039,0.505,0.123
"Fifth Harmony","The Life","dance pop, girl group, pop, post-teen pop, talent show","C",200893,43,0.171,0.0486,0.107,0,0.762,104,4,-5.633,0.739,0.744
"Ariana Grande","the light is coming (feat. Nicki Minaj)","dance pop, pop","G",228373,56,0.0122,0.18,0.028,1.51e-05,0.547,99.034,4,-5.705,0.877,0.687
"Sam Smith","The Lighthouse Keeper","pop, uk pop","C",247493,57,0.889,0.0451,0.105,0,0.17,130.721,3,-10.368,0.394,0.315
"Johnny Cash","The Little Drummer Boy","arkansas country, outlaw country","C",152266,50,0.967,0.0579,0.105,0.000416,0.497,118.871,4,-10.422,0.686,0.559
"Iggy Pop","The Little Drummer Boy","classic rock, glam rock, permanent wave, protopunk, punk, rock","F",186293,16,0.43,0.0757,0.251,0.00454,0.456,156.724,4,-8.775,0.509,0.572
"Young Thug","The London (feat. J. Cole & Travis Scott)","atl hip hop, atl trap, gangster rap, hip hop, melodic rap, pop rap, rap, southern hip hop, trap","E",200106,64,0.0247,0.147,0.132,0,0.586,97.981,4,-6.946,0.796,0.179
"Måneskin","THE LONELIEST","indie rock italiano, italian pop","D",247067,82,0.00151,0.0283,0.0762,0,0.595,129.786,4,-5.001,0.519,0.237
"Red Hot Chili Peppers","The Longest Wave","alternative rock, funk metal, funk rock, permanent wave","Gs",211520,56,0.319,0.0324,0.119,0.000129,0.511,148.158,4,-6.25,0.476,0.339
"Lorde","The Louvre","art pop, metropopolis, nz pop, pop","C",271088,61,0.239,0.047,0.0943,0.00749,0.382,123.214,4,-9.977,0.664,0.126
"Taylor Swift","The Lucky One (Taylor's Version)","pop","E",240466,62,0.066,0.05,0.0608,0,0.571,117.889,4,-7.138,0.686,0.538
"Taylor Swift","The Man","pop","C",190360,75,0.0767,0.054,0.0901,0,0.658,110.048,4,-5.191,0.777,0.633
"Aloe Blacc","The Man","neo soul, pop soul, r&b","B",255906,57,0.0332,0.0419,0.233,0,0.755,86.034,4,-7.25,0.533,0.472
"The Killers","The Man","alternative rock, dance rock, modern rock, permanent wave, rock","Fs",250093,60,0.0737,0.115,0.0709,2.23e-06,0.942,106.02,4,-2.598,0.606,0.519
"Lorde","The Man with the Axe","art pop, metropopolis, nz pop, pop","E",255890,45,0.954,0.0344,0.163,1.83e-05,0.128,78.053,4,-15.25,0.553,0.14
"Kay Starr","The Man with the Bag","adult standards, easy listening, lounge, swing, torch song, vocal jazz","C",162373,40,0.391,0.0905,0.243,0.00487,0.317,71.165,4,-8.668,0.739,0.806
"Juice WRLD","The Man, The Myth, The Legend - Interlude","chicago rap, melodic rap","D",136544,49,0.916,0.761,0.612,0,0.447,83.534,3,-14.625,0.667,0.829
"Mike WiLL Made-It","The Mantra (with Pharrell & Kendrick Lamar)","atl hip hop, pop rap, rap, southern hip hop, trap, underground hip hop","A",247687,44,0.284,0.114,0.177,0,0.707,155.009,4,-3.778,0.698,0.413
"Zedd","The Middle","complextro, dance pop, edm, electro house, electropop, german techno, pop, pop dance, pop rap, post-teen pop, tropical house","G",184732,76,0.171,0.0449,0.112,0,0.657,107.01,4,-3.061,0.753,0.437
"Taylor Swift","The Moment I Knew (Taylor's Version)","pop","G",285280,61,0.0494,0.031,0.107,0,0.402,125.952,4,-7.855,0.636,0.208
"Eminem","The Monster","detroit hip hop, hip hop, rap","Cs",250188,74,0.0525,0.0715,0.12,0,0.853,110.049,4,-3.68,0.781,0.624
"Miley Cyrus","The Most","pop","G",221720,56,0.449,0.0292,0.122,0.0032,0.613,100.051,4,-6.887,0.571,0.215
"Drake","The Motion","canadian hip hop, canadian pop, hip hop, rap, toronto rap","B",241000,52,0.29,0.0874,0.0974,0.000368,0.717,157.628,4,-8.219,0.676,0.558
"Tiësto","The Motto","big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","G",164818,81,0.0301,0.0435,0.0901,2.23e-05,0.763,117.953,4,-4.627,0.754,0.464
"PARTYNEXTDOOR","THE NEWS","pop, r&b, rap, toronto rap, urban contemporary","G",267384,62,0.306,0.0412,0.101,0.00371,0.465,116.741,4,-8.27,0.74,0.275
"Lana Del Rey","The Next Best American Record","art pop, pop","D",349347,59,0.616,0.0315,0.112,2.75e-05,0.354,108.083,4,-9.862,0.569,0.118
"David Bowie","The Next Day","art rock, classic rock, glam rock, permanent wave, rock","A",206786,33,0.00105,0.0392,0.364,0,0.967,122.007,4,-4.021,0.662,0.834
"Dr. Dre","The Next Episode","g funk, gangster rap, hip hop, rap, west coast rap","As",161506,77,0.0281,0.27,0.0856,0,0.909,95.295,4,-2.429,0.922,0.309
"Nicki Minaj","The Night Is Still Young","dance pop, hip pop, pop, queens hip hop, rap","Cs",227560,59,0.00212,0.0563,0.128,0.00305,0.692,128.017,4,-6.145,0.656,0.693
"Childish Gambino","The Night Me and Your Mama Met","atl hip hop, hip hop, pop, rap","Cs",214080,54,0.968,0.0295,0.0626,0.307,0.12,134.006,3,-14.614,0.606,0.125
"Avicii","The Nights","dance pop, edm, pop, pop dance, pop rap","Fs",176658,82,0.0166,0.0433,0.249,0,0.835,125.983,4,-5.298,0.527,0.654
"Mike Perry","The Ocean (feat. Shy Martin)","dance pop, edm, electro house, pop, pop dance, pop edm, swedish tropical house, tropical house","F",183414,67,0.0225,0.029,0.104,1.81e-06,0.575,90.037,4,-6.478,0.632,0.188
"The Chainsmokers","The One","dance pop, edm, electropop, pop, pop dance, tropical house","D",177573,55,0.238,0.0284,0.294,8.09e-06,0.303,99.991,4,-11.362,0.76,0.15
"Lauv","The Other","dance pop, electropop, pop","G",189333,55,0.421,0.0656,0.0788,2.29e-06,0.552,179.623,4,-6.621,0.381,0.383
"SZA","The Other Side (from Trolls World Tour)","pop, r&b","G",188186,60,0.00277,0.0964,0.132,0,0.607,105.979,4,-6.274,0.76,0.709
"Taylor Swift","The Other Side Of The Door (Taylor’s Version)","pop","E",238443,61,0.0279,0.0577,0.167,0,0.873,163.936,4,-4.367,0.432,0.629
"Twenty One Pilots","The Outside","modern rock, rock","B",216758,61,0.0505,0.0403,0.0539,0.125,0.623,100.991,4,-6.923,0.785,0.711
"Panic! At The Disco","The Overpass","modern rock","As",177800,48,0.0224,0.167,0.364,0,0.955,132.951,4,-1.848,0.517,0.61
"Kid Cudi","The Pale Moonlight","hip hop, ohio hip hop, rap","G",176293,50,0.455,0.252,0.209,6.6e-05,0.807,160.009,4,-7.733,0.576,0.612
"Lorde","The Path","art pop, metropopolis, nz pop, pop","F",221240,52,0.429,0.0451,0.103,0,0.647,91.928,4,-7.037,0.605,0.0834
"G-Eazy","The Plan","hip hop, indie pop rap, oakland hip hop, pop, pop rap, rap","Cs",250293,46,0.00278,0.432,0.156,0,0.597,118.044,4,-7.807,0.826,0.35
"Travis Scott","The Plan - From the Motion Picture ""TENET""","rap, slap house","Cs",185850,59,0.0922,0.0361,0.117,0.000293,0.443,79.903,3,-10.568,0.433,0.0363
"Foo Fighters","The Pretender","alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","A",269373,75,0.000917,0.0431,0.028,0,0.959,172.984,4,-4.04,0.433,0.365
"Chris Cornell","The Promise","alternative metal, alternative rock, grunge, rock","F",262813,30,0.564,0.0295,0.115,0,0.392,142.838,4,-9.394,0.293,0.456
"Tay-K","The Race","cali rap, dfw rap, rap, trap, vapor trap, viral rap","A",140000,67,0.00266,0.456,0.166,0,0.606,160.223,4,-6.064,0.766,0.352
"Eminem","The Real Slim Shady","detroit hip hop, hip hop, rap","F",284200,84,0.0302,0.0572,0.0454,0,0.661,104.504,4,-4.244,0.949,0.76
"XXXTENTACION","the remedy for a broken heart (why am I so in love)","emo rap, miami hip hop","Cs",160184,75,0.779,0.0993,0.137,0.000993,0.304,119.705,4,-11.192,0.699,0.271
"Drake","The Remorse","canadian hip hop, canadian pop, hip hop, rap, toronto rap","C",351220,55,0.812,0.249,0.227,6.92e-06,0.53,74.732,3,-8.506,0.473,0.637
"Logic","The Return","conscious hip hop, dmv rap, hip hop, pop rap, rap","B",252053,46,0.116,0.177,0.0833,0,0.958,90.012,4,-4.412,0.801,0.652
"Tiësto","The Right Song","big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Gs",205440,52,0.459,0.0898,0.322,0.000106,0.894,125.031,4,-3.56,0.546,0.387
"Eminem","The Ringer","detroit hip hop, hip hop, rap","Cs",337941,65,0.0311,0.291,0.192,0,0.551,118.552,4,-9.126,0.939,0.42
"SiM","The Rumbling (TV Size)","j-poprock, j-rock, japanese metalcore, japanese screamo","Gs",90265,61,1.68e-05,0.0546,0.264,0.000101,0.875,144.975,4,-1.536,0.408,0.646
"Coldplay","The Scientist","permanent wave, pop","F",309600,81,0.731,0.0243,0.11,1.46e-05,0.442,146.277,4,-7.224,0.557,0.213
"NF","The Search","hip hop, pop rap, rap","D",248040,69,0.596,0.297,0.0997,0,0.786,119.957,4,-4.788,0.789,0.39
"Rex Orange County","THE SHADE","bedroom pop, pop","F",181506,79,0.391,0.062,0.0876,0,0.509,119.869,4,-7.973,0.898,0.727
"Foo Fighters","The Sky Is A Neighborhood","alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock","B",244573,60,0.000798,0.0698,0.22,0.00485,0.549,130.749,4,-7.843,0.357,0.531
"Prince","The Song of the Heart","funk, funk rock, minneapolis sound, synth funk","Cs",275546,30,0.0147,0.356,0.101,8.38e-05,0.697,203.173,4,-8.679,0.753,0.828
"The 1975","The Sound","modern alternative rock, modern rock, pop, rock","C",248879,65,0.085,0.0762,0.482,6.93e-06,0.936,120.708,4,-4.745,0.648,0.566
"Disturbed","The Sound of Silence","alternative metal, nu metal, rap metal","Fs",248466,68,0.468,0.0281,0.102,1.1e-06,0.28,85.794,4,-9.367,0.322,0.175
"A Tribe Called Quest","The Space Program","alternative hip hop, conscious hip hop, east coast hip hop, gangster rap, golden age hip hop, hardcore hip hop, hip hop, jazz rap, queens hip hop, rap","Cs",341040,44,0.427,0.352,0.658,0,0.705,101.876,4,-5.898,0.612,0.533
"Alan Walker","The Spectre","electro house","Cs",193787,68,0.0214,0.0383,0.0903,0.00191,0.711,127.957,4,-7.437,0.654,0.198
"Tory Lanez","The Take (feat. Chris Brown)","canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap","G",221492,67,0.0511,0.339,0.155,0,0.547,67.003,4,-8.137,0.464,0.423
"B.B. King","The Thrill Is Gone","blues, blues rock, classic rock, electric blues, jazz blues, soul blues, traditional blues","B",324733,58,0.344,0.0256,0.0983,0.442,0.46,90.768,4,-8.759,0.547,0.543
"Sam Smith","The Thrill Of It All","pop, uk pop","As",208903,49,0.81,0.052,0.11,6.82e-05,0.279,127.053,4,-9.18,0.496,0.103
"Halsey","The Tradition","dance pop, electropop, etherpop, indie poptimism, pop","A",226373,49,0.78,0.0315,0.111,0,0.262,105.822,4,-7.605,0.43,0.244
"Meek Mill","The Trillest","hip hop, philly rap, pop rap, rap, southern hip hop, trap","Cs",275506,38,0.00719,0.396,0.18,0,0.584,168.598,4,-6.107,0.488,0.335
"Kygo","The Truth","edm, pop, pop dance, tropical house","G",193747,50,0.166,0.063,0.189,0,0.539,109.885,4,-7.006,0.629,0.316
"BTS","The Truth Untold","k-pop, k-pop boy group","Cs",242292,59,0.374,0.0422,0.127,0,0.422,113.016,4,-7.561,0.571,0.169
"Arctic Monkeys","The Ultracheese","garage rock, modern rock, permanent wave, rock, sheffield indie","A",217720,48,0.624,0.0404,0.126,3.98e-05,0.555,131.497,3,-6.551,0.476,0.426
"Taylor Swift","The Very First Night (Taylor's Version) (From The Vault)","pop","G",200280,68,0.00115,0.0281,0.104,0,0.733,121.009,4,-5.025,0.678,0.581
"Kid Cudi","The Void","hip hop, ohio hip hop, rap","G",325413,55,0.365,0.0314,0.117,0.28,0.459,142.017,4,-8.736,0.464,0.0786
"Trippie Redd","The Way","melodic rap, rap, trap","Cs",243287,41,0.17,0.166,0.138,1.03e-05,0.564,145.97,4,-9.513,0.789,0.52
"Charlie Puth","The Way I Am","dance pop, pop, viral pop","As",186080,59,0.314,0.186,0.0628,2.38e-06,0.769,114.966,4,-5.658,0.755,0.642
"Bebe Rexha","The Way I Are (Dance with Somebody) [feat. Lil Wayne]","dance pop, edm, pop, post-teen pop","D",187787,52,0.00282,0.115,0.273,0,0.659,186.169,4,-6.077,0.466,0.36
"Taylor Swift","The Way I Loved You (Taylor’s Version)","pop","F",243136,76,0.0033,0.0484,0.108,0,0.732,161.032,4,-4.665,0.402,0.472
"Lil Uzi Vert","The Way Life Goes (feat. Oh Wonder)","melodic rap, philly rap, rap, trap","Cs",221746,76,0.617,0.05,0.106,0,0.757,82.008,4,-3.612,0.703,0.696
"Future","THE WAY THINGS GOING","atl hip hop, rap, southern hip hop, trap","Fs",179493,48,0.0234,0.261,0.108,1.72e-05,0.743,175.067,4,-4.917,0.639,0.27
"Khalid","The Ways (with Swae Lee)","pop, pop r&b","B",238893,58,0.0626,0.0488,0.176,1.21e-06,0.72,140.08,4,-5.856,0.727,0.589
"SZA","The Weekend - Funk Wav Remix","pop, r&b","B",171805,69,0.495,0.0585,0.126,0,0.573,101.925,4,-4.933,0.775,0.667
"Mumford & Sons","The Wolf","modern folk rock, stomp and holler, uk americana","D",221240,49,0.000559,0.0468,0.183,0.728,0.825,152.934,4,-5.343,0.42,0.307
"Arctic Monkeys","The World's First Ever Monster Truck Front Flip","garage rock, modern rock, permanent wave, rock, sheffield indie","As",180013,43,0.346,0.0303,0.0735,0.349,0.601,145.075,4,-5.742,0.602,0.553
"Martin Garrix","There for You","dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house","Fs",221904,64,0.124,0.0553,0.124,0,0.644,105.969,4,-7.607,0.611,0.13
"DaBaby","THERE HE GO","north carolina hip hop, rap, trap","Cs",143295,43,0.339,0.136,0.0739,0,0.747,84.435,4,-3.368,0.836,0.758
"Mumford & Sons","There Will Be Time","modern folk rock, stomp and holler, uk americana","Cs",267946,50,0.0137,0.0466,0.0879,0,0.703,149.951,4,-8.344,0.481,0.225
"ZAYN","There You Are","dance pop, pop, post-teen pop, uk pop","C",199600,61,0.0263,0.0385,0.11,0,0.688,76.99,4,-4.84,0.452,0.313
"Arctic Monkeys","There’d Better Be A Mirrorball","garage rock, modern rock, permanent wave, rock, sheffield indie","Ds",265798,64,0.626,0.0317,0.185,0.012,0.365,143.789,4,-10.914,0.521,0.324
"Billie Eilish","Therefore I Am","art pop, electropop, pop","D",173539,68,0.227,0.0924,0.0583,0.135,0.365,94.016,4,-7.781,0.879,0.663
"Lauv","There's No Way","dance pop, electropop, pop","D",174860,46,0.49,0.0897,0.157,0,0.625,147.022,4,-7.114,0.755,0.374
"Shawn Mendes","There's Nothing Holdin' Me Back","canadian pop, dance pop, pop, viral pop","B",199440,82,0.38,0.0554,0.0779,0,0.813,121.998,4,-4.063,0.866,0.969
"Take That","These Days","boy band, dance pop, europop","Cs",231980,49,0.00477,0.0377,0.0681,1.21e-05,0.891,120.056,4,-5.766,0.635,0.712
"Rudimental","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","dance pop, edm, house, pop, pop dance, tropical house, uk dance, uk funky","C",210772,68,0.194,0.0474,0.165,0,0.809,92.213,4,-4.057,0.653,0.55
"Kendrick Lamar","These Walls","conscious hip hop, hip hop, rap, west coast rap","Cs",300973,63,0.11,0.137,0.202,3.57e-06,0.489,108.005,4,-5.233,0.752,0.373
"One Direction","They Don't Know About Us","boy band, pop, post-teen pop, talent show","C",200400,72,0.126,0.0492,0.0978,0,0.727,147.917,4,-6.131,0.514,0.37
"David Guetta","Thing For You (With Martin Solveig)","big room, dance pop, edm, pop, pop dance","D",191398,45,0.0395,0.0496,0.1,1.82e-05,0.723,121.057,4,-5.545,0.774,0.769
"Bryson Tiller","Things Change","kentucky hip hop, pop, r&b, rap, trap","A",214731,48,0.245,0.37,0.111,4.36e-05,0.613,145.756,5,-4.851,0.758,0.491
"Aretha Franklin","Think","adult standards, classic soul, jazz blues, memphis soul, soul, southern soul","Fs",139733,64,0.251,0.0389,0.221,0,0.63,110.051,4,-10.817,0.687,0.926
"Kygo","Think About You","edm, pop, pop dance, tropical house","As",208566,53,0.166,0.0354,0.11,0,0.596,123.969,4,-7.891,0.673,0.19
"Astrid S","Think Before I Talk","alt z, dance pop, norwegian pop, pop, tropical house","F",184908,49,0.367,0.147,0.149,0,0.599,121.997,4,-5.588,0.776,0.536
"Miley Cyrus","Thinkin'","pop","A",245053,42,0.0052,0.031,0.329,3.93e-05,0.706,115.041,4,-3.48,0.846,0.873
"Frank Ocean","Thinkin Bout You","hip hop, lgbtq+ hip hop, neo soul, pop","C",200746,74,0.409,0.0532,0.0973,0.00153,0.339,129.83,4,-11.195,0.721,0.2
"Hardwell","Thinking About You","big room, dance pop, dutch house, edm, electro house, pop dance, progressive electro house, progressive house, tropical house","Fs",191311,43,0.0271,0.0507,0.259,5.97e-05,0.914,121.994,4,-3.197,0.702,0.623
"Ariana Grande","Thinking Bout You","dance pop, pop","B",200400,55,0.0149,0.0616,0.122,0.000887,0.697,102.983,4,-6.021,0.507,0.401
"Ed Sheeran","Thinking out Loud","pop, uk pop","D",281560,79,0.474,0.0295,0.184,0,0.445,78.998,4,-6.061,0.781,0.591
"Kevin Gates","Thinking with My Dick (feat. Juicy J)","baton rouge rap, pop rap, rap, southern hip hop, trap","C",165314,65,0.0596,0.199,0.17,1.65e-05,0.699,81.003,4,-6.59,0.77,0.696
"Beyoncé","THIQUE","dance pop, pop, r&b","F",244792,68,0.0616,0.319,0.326,0.0143,0.536,128.955,4,-10.123,0.823,0.537
"Trippie Redd","This Ain't That","melodic rap, rap, trap","E",207058,49,0.114,0.0589,0.366,0,0.68,76.47,4,-4.755,0.716,0.219
"Donny Hathaway","This Christmas","chicago soul, classic soul, funk, neo soul, quiet storm, soul","F",231173,49,0.292,0.0376,0.246,0,0.645,93.047,4,-9.2,0.634,0.677
"Christina Aguilera","This Christmas","dance pop, pop, post-teen pop","Cs",241506,60,0.0687,0.0603,0.0723,0,0.744,183.79,4,-5.466,0.575,0.701
"Chris Brown","This Christmas","dance pop, r&b","G",197560,51,0.387,0.0677,0.0862,0,0.647,87.932,1,-6.031,0.578,0.414
